source,page,title,url,in_master_estimate
scholar,0,Synthetic or natural? Metabolic engineering for assimilation and valorization of methanol,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,[HTML] Methylotrophs: from C1 compounds to food,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,Novel outlook in engineering synthetic methylotrophs and formatotrophs: a course for advancing C1-based chemicals production,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,Synthetic methylotrophy: Engineering microbes for sustainable biomanufacturing from C1 compounds,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,Advancements in biological conversion of C1 feedstocks: sustainable bioproduction and environmental solutions,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,[PDF] Metabolism and Physiology of Methylotrophs,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,"[HTML] Insights into C1 and C3 assimilation pathways in type I methanotrophic bacterium from co-production of 1, 2-propanediol and lactate","https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,[PDF] Synthetic methanol and formate assimilation via modular engineering and selection strategies,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,[HTML] Recent progress in the engineering of C1-utilizing microbes,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,… Methylomonas sp. DH-1 reveals key differences in transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,The Regulation of Exopolysaccharide Production and of Enzymes Involved in C1 Assimilation in Methylophilus methylotrophus,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,The Energetics and Kinetics of Extracellular Polysaccharide Production From Methanol by Micro-organisms Possessing Different Pathways of C1 Assimilation,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,"Assimilation, dissimilation, and detoxification of formaldehyde, a central metabolic intermediate of methylotrophic metabolism","https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,[인용] Metabolism and physiology of methylotrophic microorganisms,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
